V Mag,Proper name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity
"-26.74
",b'Sun',b'\xc2\xa0\n',"0.000015813
","G2
","1
","1
","1
"
"-26.74
",b'Sun',b'\xc2\xa0\n',"0.000015813
","G2
","1
","1
","1
"
"-26.74
",b'Sun',b'\xc2\xa0\n',"0.000015813
","G2
","1
","1
","1
"
"-26.74
",b'Sun',b'\xc2\xa0\n',"0.000015813
","G2
","1
","1
","1
"
"-26.74
",b'Sun',b'\xc2\xa0\n',"0.000015813
","G2
","1
","1
","1
"
"-26.74
",b'Sun',b'\xc2\xa0\n',"0.000015813
","G2
","1
","1
","1
"
"-26.74
",b'Sun',b'\xc2\xa0\n',"0.000015813
","G2
","1
","1
","1
"
"-26.74
",b'Sun',b'\xc2\xa0\n',"0.000015813
","G2
","1
","1
","1
"
"-1.46
",b'Sirius',b'\xce\xb1 CMa\n',"8.6
","A1
","2.1
","1.71
","25.4
"
"-1.46
",b'Sirius',b'\xce\xb1 CMa\n',"8.6
","A1
","2.1
","1.71
","25.4
"
"-1.46
",b'Sirius',b'\xce\xb1 CMa\n',"8.6
","A1
","2.1
","1.71
","25.4
"
"-1.46
",b'Sirius',b'\xce\xb1 CMa\n',"8.6
","A1
","2.1
","1.71
","25.4
"
"-1.46
",b'Sirius',b'\xce\xb1 CMa\n',"8.6
","A1
","2.1
","1.71
","25.4
"
"-1.46
",b'Sirius',b'\xce\xb1 CMa\n',"8.6
","A1
","2.1
","1.71
","25.4
"
"-1.46
",b'Sirius',b'\xce\xb1 CMa\n',"8.6
","A1
","2.1
","1.71
","25.4
"
"-1.46
",b'Sirius',b'\xce\xb1 CMa\n',"8.6
","A1
","2.1
","1.71
","25.4
"
"-0.74
",b'Canopus',b'\xce\xb1 Car\n',"310
","A9
","15
","71
","13,500
"
"-0.74
",b'Canopus',b'\xce\xb1 Car\n',"310
","A9
","15
","71
","13,500
"
"-0.74
",b'Canopus',b'\xce\xb1 Car\n',"310
","A9
","15
","71
","13,500
"
"-0.74
",b'Canopus',b'\xce\xb1 Car\n',"310
","A9
","15
","71
","13,500
"
"-0.74
",b'Canopus',b'\xce\xb1 Car\n',"310
","A9
","15
","71
","13,500
"
"-0.74
",b'Canopus',b'\xce\xb1 Car\n',"310
","A9
","15
","71
","13,500
"
"-0.74
",b'Canopus',b'\xce\xb1 Car\n',"310
","A9
","15
","71
","13,500
"
"-0.74
",b'Canopus',b'\xce\xb1 Car\n',"310
","A9
","15
","71
","13,500
"
"-0.27
",b'Alpha Centauri',b'\xce\xb1 Cen',"4.4
","G2
","1.1
","1.2
","2
"
"-0.27
",b'Alpha Centauri',b'\xce\xb1 Cen',"4.4
","G2
","1.1
","1.2
","2
"
"-0.27
",b'Alpha Centauri',b'\xce\xb1 Cen',"4.4
","G2
","1.1
","1.2
","2
"
"-0.27
",b'Alpha Centauri',b'\xce\xb1 Cen',"4.4
","G2
","1.1
","1.2
","2
"
"-0.27
",b'Alpha Centauri',b'\xce\xb1 Cen',"4.4
","G2
","1.1
","1.2
","2
"
"-0.27
",b'Alpha Centauri',b'\xce\xb1 Cen',"4.4
","G2
","1.1
","1.2
","2
"
"-0.27
",b'Alpha Centauri',b'\xce\xb1 Cen',"4.4
","G2
","1.1
","1.2
","2
"
"-0.27
",b'Alpha Centauri',b'\xce\xb1 Cen',"4.4
","G2
","1.1
","1.2
","2
"
"-0.05
",b'Arcturus',b'\xce\xb1 Boo\n',"37
","K2
","1.1
","26
","170
"
"-0.05
",b'Arcturus',b'\xce\xb1 Boo\n',"37
","K2
","1.1
","26
","170
"
